Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Aug 3, 2011",Gonzalo Vargas,29,Centre-Forward,Uruguay,"
Atlas ", Liga MX Clausura ,"
Gimnasia ",,500 K €,Free transfer
"Aug 3, 2011",Emanuel Perrone,28,Centre-Forward,Argentina,"
Anorthosis ", First Division ,"
Asteras Tripoli ",,"1,10 mil. €",Free transfer
"Aug 3, 2011",Luke Summerfield,23,Central Midfield,England,"
Plymouth ", League Two ,"
Cheltenham ",,800 K €,Free transfer
"Aug 3, 2011",Paul Rodgers,21,Right-Back,England,"
Northampt. Town ", League Two ,"
Newport County ",,75 K €,Free transfer
"Aug 3, 2011",Jon Stewart,22,Goalkeeper,England,"
Bournemouth ", League One ,"
Burnley ",,50 K €,Free transfer
"Aug 3, 2011",Cyriaque Louvion,24,Centre-Back,France,"
FC Le Mans ", Ligue 2 ,"
AC Le Havre ",,400 K €,Free transfer
"Aug 3, 2011",Stefan Barboianu,23,Right-Back,Romania,"
Dinamo Bukarest ", Liga 1 ,"
Astra Giurgiu ",,800 K €,Free transfer
"Aug 3, 2011",Florin Costea,26,Left Winger,Romania,"
Uni. Craiova ", Romania		,"
FCSB ",,"3,50 mil. €",Free transfer
"Aug 3, 2011",Valerica Gaman,22,Centre-Back,Romania,"
Dinamo Bukarest ", Liga 1 ,"
Astra Giurgiu ",,"2,20 mil. €",Free transfer
"Aug 3, 2011",Attila Kuttor,41,Centre-Back,Hungary,"
Haladás ", NB I. ,"
Abda SC ",,50 K €,Free transfer
"Aug 4, 2011",Oriol Romeu,19,Defensive Midfield,Spain,"
FC Barcelona B ", LaLiga2 ,"
Chelsea ",,"2,50 mil. €","4,60 mil. €"
"Aug 4, 2011",Wayne Routledge,26,Left Winger,England,"
Newcastle ", Premier League ,"
Swansea ",,"3,00 mil. €","3,25 mil. €"
"Aug 4, 2011",Kalu Uche,28,Centre-Forward,Nigeria,"
UD Almería ", LaLiga2 ,"
Xamax ",,"5,00 mil. €","1,00 mil. €"
"Aug 4, 2011",Christian Fröhlich,33,Attacking Midfield,Germany,"
Chemnitzer FC ", 3. Liga ,"
Heidenauer SV ",,125 K €,Free transfer
"Aug 4, 2011",Floribert Ngalula,24,Defensive Midfield,Belgium,"
TPS ", Veikkausliiga ,"
OH Leuven ",,250 K €,Free transfer
"Aug 4, 2011",Riccardo Bonetto,32,Left-Back,Italy,"
Lazio ", Serie A ,"
Bassano ",,200 K €,Free transfer
"Aug 4, 2011",Taylan Uzunoglu,29,Centre-Forward,Turkey,"
Akhisarspor ", 1.Lig ,"
Körfez Isk. ",,100 K €,Free transfer
"Aug 4, 2011",Warren Feeney,30,Centre-Forward,Northern Ireland,"
Oldham Athletic ", League One ,"
Plymouth ",,750 K €,Free transfer
"Aug 4, 2011",Miguel Llera,31,Centre-Back,Spain,"
Charlton ", League One ,"
Blackpool ",,400 K €,Free transfer
"Aug 4, 2011",Néstor Ayala,28,Centre-Forward,Paraguay,"
Dep. Cuenca ", Ecuador		,"
San Martín ",,800 K €,Free transfer
"Aug 4, 2011",Harry Forrester,20,Left Winger,England,"
Aston Villa U23 ", Reserve League ,"
Brentford ",,50 K €,Free transfer
"Aug 4, 2011",Ziya Aydin,32,Goalkeeper,Turkey,"
Kartalspor ", 1.Lig ,"
Sanliurfaspor  ",,100 K €,Free transfer
"Aug 4, 2011",Mutlu Ilengöz,23,Left-Back,Turkey,"
Gebzespor ", 3.Lig Grup 1 ,"
Alanyaspor ",,50 K €,Free transfer
"Aug 4, 2011",Mikel Balenziaga,23,Left-Back,Spain,"
Athletic ", LaLiga ,"
Real Valladolid ",,800 K €,Free transfer
"Aug 4, 2011",Máté Burkus,21,Right Winger,Hungary,"
Haladás ", NB I. ,"
Mosonmagyaróvár ",,50 K €,Free transfer
"Aug 4, 2011",Attila Császár,27,Centre-Back,Hungary,"
Bajai LSE ", NB II - West ,"
BKV Előre ",,75 K €,Free transfer
"Aug 4, 2011",Guja Rukhaia,24,Right-Back,Georgia,"
Zhemchuzhina ", 1.Division ,"
Spartak Nalchik ",,350 K €,Free transfer
"Aug 4, 2011",Sebastian Letocha,19,Centre-Forward,Poland,"
Motor Lublin ", Poland		,"
MKS Kluczbork ",,50 K €,Free transfer
"Aug 4, 2011",Péter Berki,21,Centre-Forward,Romania,"
Honvéd II ", NB II - East ,"
BKV Előre ",,50 K €,Free transfer
"Aug 4, 2011",Krisztián Csillag,36,Midfielder,Hungary,"
Budaörs ", NB II - West ,"
Budafoki MTE ",,25 K €,Free transfer
"Aug 4, 2011",Nariman Gusalov,21,Centre-Back,Russia,"
Daugava Riga ", Virsliga ,"
Avangard Kursk ",,75 K €,Free transfer
"Aug 4, 2011",Turgay Gölbasi,28,Defensive Midfield,Turkey,"
Samsunspor ", Süper Lig ,"
Karsiyaka ",,450 K €,?
"Aug 4, 2011",Damián Macaluso,31,Centre-Back,Uruguay,"
Tiburones Rojos ", Ascenso MX Clausura ,"
Gimnasia ",,"1,20 mil. €",?
"Aug 4, 2011",Jonathan Ramírez,20,Centre-Forward,Uruguay,"
River Plate ", Primera División ,"
Vélez Sarsfield ",,450 K €,?
"Aug 4, 2011",Christian Amoroso,34,Central Midfield,Italy,"
AC Pisa ", Serie C - A ,"
Retired ",,100 K €,-
"Aug 5, 2011",Stefano Beltrame,18,Attacking Midfield,Italy,"
Novara U19 ", Primavera A ,"
Juventus U19 ",,250 K €,"1,70 mil. €"
"Aug 5, 2011",Pierre Webó,29,Centre-Forward,Cameroon,"
RCD Mallorca ", LaLiga ,"
Basaksehir ",,"4,00 mil. €",750 K €
"Aug 5, 2011",Paolo Dellafiore,26,Centre-Back,Italy,"
Parma ", Serie A ,"
Novara ",,"1,00 mil. €",500 €
"Aug 5, 2011",Aykan Öksüz,28,Midfielder,Turkey,"
Turan Spor ", 2.Lig Kirmizi ,"
Alanyaspor ",,50 K €,Free transfer
"Aug 5, 2011",Koray Avci,33,Defensive Midfield,Turkey,"
C. Rizespor ", 1.Lig ,"
Sanliurfaspor  ",,500 K €,Free transfer
"Aug 5, 2011",Alexander Moritz,29,Goalkeeper,Germany,"
Carl Zeiss Jena ", 3. Liga ,"
Markranstädt ",,50 K €,Free transfer
"Aug 5, 2011",Darren Currie,36,Midfielder,England,"
Dag & Red FC ", League Two ,"
Boreham Wood ",,275 K €,Free transfer
"Aug 5, 2011",Élson,29,Attacking Midfield,Brazil,"
VfB Stuttgart ", Bundesliga ,"
Rostov ",,750 K €,Free transfer
"Aug 5, 2011",Andrea Tummiolo,27,Central Midfield,Italy,"
Trento ", Italy		,"
Ribera ",,50 K €,Free transfer
"Aug 5, 2011",François Marque,28,Centre-Back,France,"
Grenoble ", France		,"
SC Bastia ",,500 K €,Free transfer
"Aug 5, 2011",Ahmet Maran,23,Right Winger,Turkey,"
Karsspor ", Turkey		,"
Gölcükspor ",,50 K €,Free transfer
"Aug 5, 2011",Christoph Klippel,24,Centre-Back,Germany,"
Hallescher FC ", RL Nord (bis 11/12) ,"
SV Meppen ",,100 K €,Free transfer
"Aug 5, 2011",Dramane Traoré,29,Centre-Forward,Mali,"
Esperance ", Ligue I Pro ,"
Metallurg D. ",,"1,50 mil. €",Free transfer
"Aug 5, 2011",Sergey Efimov,23,Centre-Back,Russia,"
Kazanka ", Russia		,"
Khimki ",,150 K €,Free transfer
"Aug 5, 2011",Serdar Ücüncü,29,Defensive Midfield,Turkey,"
Körfez Isk. ", 2.Lig Beyaz ,"
Keciörengücü ",,50 K €,Free transfer
"Aug 5, 2011",Pál Szalma,29,Goalkeeper,Hungary,"
BFC Siófok ", NB I. ,"
Balmazújváros ",,100 K €,Free transfer
"Aug 5, 2011",Sezgin Bektas,23,Centre-Forward,Turkey,"
Kirsehirspor ", Turkey		,"
Gölcükspor ",,100 K €,Free transfer
"Aug 5, 2011",Mehmet Ayaz,29,Right Winger,Turkey,"
Orduspor ", Süper Lig ,"
Kartalspor ",,400 K €,Free transfer
"Aug 5, 2011",Iskender Köksal,29,Centre-Back,Turkey,"
Körfez SK ", 2.Lig Kirmizi ,"
Alanyaspor ",,150 K €,Free transfer
"Aug 5, 2011",Leandro Ezquerra,25,Central Midfield,Uruguay,"
River Plate ", Primera División ,"
Tanque Sisley ",,300 K €,Free transfer
"Aug 5, 2011",Vadym Rybalchenko,22,Centre-Forward,Ukraine,"
Arsenal Kyiv ", Premier Liga ,"
Bukovyna ",,100 K €,Free transfer
"Aug 5, 2011",Loïc Dufau,22,Defensive Midfield,France,"
Monaco ", Ligue 2 ,"
G. Ajaccio ",,50 K €,Free transfer
"Aug 5, 2011",Ilias Michalopoulos,25,Left Midfield,Greece,"
Veria NPS ", Football League ,"
GS Kallithea ",,250 K €,Free transfer
"Aug 5, 2011",Diego Pérez,31,Goalkeeper,Uruguay,"
Danubio FC ", Primera División ,"
Boston River ",,200 K €,Free transfer
"Aug 5, 2011",Metin Kurt,31,Attacking Midfield,Turkey,"
Körfez SK ", 2.Lig Kirmizi ,"
Alanyaspor ",,100 K €,Free transfer
"Aug 6, 2011",Javier Pastore,22,Attacking Midfield,Argentina,"
Palermo ", Serie A ,"
Paris SG ",,"21,00 mil. €","42,00 mil. €"
"Aug 6, 2011",Erik Lamela,19,Right Winger,Argentina,"
River Plate ", Primera Nacional ,"
AS Roma ",,"5,00 mil. €","17,00 mil. €"
"Aug 6, 2011",Yuri Zhirkov,27,Left-Back,Russia,"
Chelsea ", Premier League ,"
Anzhi ",,"12,00 mil. €","15,00 mil. €"
"Aug 6, 2011",Daniele Mannini,27,Right Midfield,Italy,"
SSC Napoli ", Serie A ,"
Siena ",,"3,50 mil. €",650 K €
"Aug 6, 2011",John Carew,31,Centre-Forward,Norway,"
Aston Villa ", Premier League ,"
West Ham ",,"5,00 mil. €",Free transfer
"Aug 6, 2011",Marc Goodfellow,29,Right Midfield,England,"
Barrow ", National League ,"
Gresley ",,50 K €,Free transfer
"Aug 6, 2011",Márton Fülöp,28,Goalkeeper,Hungary,"
Ipswich ", Championship ,"
West Brom ",,"2,25 mil. €",Free transfer
"Aug 6, 2011",Diaw Doudou,35,Centre-Back,Senegal,"
Atletico Roma ", Italy		,"
Pergolettese ",,50 K €,Free transfer
"Aug 6, 2011",Gavin Gunning,20,Centre-Back,Ireland,"
Blackburn ", Premier League ,"
Dundee United ",,50 K €,Free transfer
"Aug 6, 2011",Daniel Maka,23,Right Winger,Poland,"
Pol. Warsaw ", Ekstraklasa ,"
Polonia Bytom ",,200 K €,Free transfer
"Aug 6, 2011",Juan Carrera,30,Goalkeeper,Argentina,"
Argentinos Jrs. ", Torneo Final ,"
Club Sarmiento ",,200 K €,Free transfer
"Aug 6, 2011",Rudy Saintini,24,Right Winger,France,"
KV Oostende ", Proximus League ,"
RE Virton ",,200 K €,Free transfer
"Aug 6, 2011",Branislav Nikic,27,Defensive Midfield,Bosnia-Herzegovina,"
Zvijezda G. ", Premijer Liga ,"
Nea Salamis ",,275 K €,Free transfer
"Aug 6, 2011",Maksim Zinovijev,31,Centre-Back,Russia,"
Fakel Voronezh ", 1.Division ,"
Torpedo Moscow ",,100 K €,?
"Aug 6, 2011",Glenroy Samuel,21,Goalkeeper,Trinidad and Tobago,"
Joe Public FC ", Trinidad and Tobago		,"
Morv. Cal. Utd ",,25 K €,?
"Aug 7, 2011",Achille Emaná,29,Attacking Midfield,Cameroon,"
Real Betis ", LaLiga ,"
Hilal ",,"7,00 mil. €","4,50 mil. €"
"Aug 7, 2011",Michel Vorm,27,Goalkeeper,Netherlands,"
FC Utrecht ", Eredivisie ,"
Swansea ",,"5,00 mil. €","1,70 mil. €"
"Aug 7, 2011",Isaac Boakye,29,Centre-Forward,Ghana,"
Vålerenga ", Eliteserien ,"
Chirag Kerala ",,600 K €,Free transfer
"Aug 7, 2011",Luciano Molini,22,Goalkeeper,Argentina,"
Defensa ", Primera Nacional ,"
Unknown ",,25 K €,Free transfer
"Aug 8, 2011",Romelu Lukaku,18,Centre-Forward,Belgium,"
RSC Anderlecht ", Jupiler Pro League ,"
Chelsea ",,"15,00 mil. €","15,00 mil. €"
"Aug 8, 2011",Alex Oxlade-Chamberlain,17,Central Midfield,England,"
Southampton ", Championship ,"
Arsenal ",,"2,50 mil. €","13,80 mil. €"
"Aug 8, 2011",Nosa Igiebor,20,Central Midfield,Nigeria,"
Lillestrøm SK ", Eliteserien ,"
Hapoel Tel Aviv ",,"1,50 mil. €",850 K €
"Aug 8, 2011",Jürgen Säumel,26,Central Midfield,Austria,"
MSV Duisburg ", 2. Bundesliga ,"
Sturm Graz ",,500 K €,Free transfer
"Aug 8, 2011",Abdeslam Ouaddou,32,Centre-Back,Morocco,"
Al Duhail ", Stars League ,"
Qatar SC ",,"1,50 mil. €",Free transfer
"Aug 8, 2011",Tosin Dosunmu,31,Right Winger,Nigeria,"
Beerschot AC ", Jupiler Pro League ,"
Royal Antwerp ",,400 K €,Free transfer
"Aug 8, 2011",Paul Green,24,Midfielder,England,"
Lincoln City ", National League ,"
Tamworth ",,75 K €,Free transfer
"Aug 8, 2011",Karol Gregorek,28,Centre-Forward,Poland,"
GKS Belchatow ", Ekstraklasa ,"
Chojniczanka ",,200 K €,Free transfer
"Aug 8, 2011",Valerio Balaskovic,35,Midfielder,Croatia,"
NK Oriolik ", Croatia		,"
NK Libertas ",,300 K €,Free transfer
"Aug 8, 2011",James Wesolowski,23,Central Midfield,Australia,"
Peterborough ", Championship ,"
Oldham Athletic ",,350 K €,Free transfer
"Aug 8, 2011",Ali Ückulak,25,Goalkeeper,Turkey,"
K. Erciyesspor ", 1.Lig ,"
Siirtspor ",,50 K €,Free transfer
"Aug 8, 2011",Aleksey Kuchuk,24,Centre-Forward,Belarus,"
Vitebsk ", Vysheyshaya Liga ,"
Enisey ",,300 K €,Free transfer
"Aug 8, 2011",Ante Puljic,23,Centre-Back,Croatia,"
NK Zadar  ", 1.HNL ,"
NK Lokomotiva ",,500 K €,Free transfer
"Aug 8, 2011",Adrijan Antunovic,22,Attacking Midfield,Croatia,"
Union Berlin II ", NOFV-Oberliga Nord ,"
NK Lokomotiva ",,100 K €,Free transfer
"Aug 8, 2011",Scott Brown,26,Defensive Midfield,England,"
Morecambe FC ", League Two ,"
Fleetwood ",,25 K €,Free transfer
"Aug 8, 2011",Matej Jelic,20,Centre-Forward,Croatia,"
NK Lokomotiva ", 1.HNL ,"
NK Lucko ",,250 K €,Free transfer
"Aug 8, 2011",Branko Cubrilo,23,Centre-Forward,Croatia,"
Hajduk Split ", 1.HNL ,"
NK Val ",,100 K €,Free transfer
"Aug 8, 2011",Vladimir Sekuloski,31,Left-Back,North Macedonia,"
Shkumbini Peqin ", Kategoria Superiore ,"
Teteks Tetovo ",,100 K €,Free transfer
"Aug 8, 2011",Gábor Koós,25,Centre-Forward,Hungary,"
Budaörs ", NB II - West ,"
Egri FC ",,75 K €,Free transfer
"Aug 8, 2011",Norbert Palásthy,30,Centre-Forward,Hungary,"
Paksi FC ", NB I. ,"
Mezőkövesd ",,100 K €,Free transfer
"Aug 8, 2011",Luciano Civelli,24,Left Midfield,Argentina,"
Ipswich ", Championship ,"
Libertad ",,"1,00 mil. €",Free transfer
"Aug 8, 2011",Attila Katona,30,Centre-Back,Hungary,"
BFC Siófok ", NB I. ,"
Egri FC ",,100 K €,Free transfer
"Aug 8, 2011",Norbert Lipusz,25,Left Midfield,Hungary,"
Kazincbarcika ", NB II - East ,"
Mezőkövesd ",,125 K €,Free transfer
"Aug 8, 2011",Berkay Onarici,24,Right Winger,Turkey,"
Karsspor ", Turkey		,"
Siirtspor ",,200 K €,Free transfer
"Aug 8, 2011",Ridvan Sönmez,22,Right-Back,Turkey,"
Gümüshanespor ", 3.Lig Grup 1 ,"
Siirtspor ",,50 K €,Free transfer
"Aug 9, 2011",Matías Silvestre,26,Centre-Back,Argentina,"
Catania ", Serie A ,"
Palermo ",,"3,50 mil. €","8,00 mil. €"
"Aug 9, 2011",Gabriel Obertan,22,Attacking Midfield,France,"
Man Utd ", Premier League ,"
Newcastle ",,"3,00 mil. €","3,40 mil. €"
"Aug 9, 2011",Radosav Petrovic,22,Defensive Midfield,Serbia,"
Partizan ", Friendlies ,"
Blackburn ",,"2,50 mil. €","3,30 mil. €"
"Aug 9, 2011",Dieumerci Mbokani,25,Centre-Forward,DR Congo,"
Monaco ", Ligue 2 ,"
RSC Anderlecht ",,"3,00 mil. €","3,00 mil. €"
"Aug 9, 2011",James McClean,22,Left Midfield,Ireland,"
Derry City ", Premier League ,"
Sunderland ",,50 K €,750 K €
"Aug 9, 2011",Chris O'Grady,25,Centre-Forward,England,"
Rochdale ", League One ,"
Sheff Wed ",,300 K €,400 K €
"Aug 9, 2011",Valeri Qazaishvili,18,Left Winger,Georgia,"
Saburtalo ", Georgia		,"
Vitesse ",,175 K €,120 K €
"Aug 9, 2011",Matthew Upson,32,Centre-Back,England,"
West Ham ", Championship ,"
Stoke City ",,"5,00 mil. €",Free transfer
"Aug 9, 2011",Ludovic Giuly,35,Right Winger,France,"
Paris SG ", Ligue 1 ,"
Monaco ",,"1,50 mil. €",Free transfer
"Aug 9, 2011",Aaron Lescott,32,Left-Back,England,"
Walsall ", League One ,"
Halesowen ",,150 K €,Free transfer
"Aug 9, 2011",Sotiris Tsatsos,32,Attacking Midfield,Greece,"
AO Chania ", Greece		,"
Ira. Psachnon ",,550 K €,Free transfer
"Aug 9, 2011",Mauricio Nanni,32,Goalkeeper,Uruguay,"
Wanderers ", Primera División ,"
Huracan de Comodoro Rivadavia ",,225 K €,Free transfer
"Aug 9, 2011",Athanasios Tolios,34,Goalkeeper,Greece,"
AO Trikala ", Greece		,"
Ira. Psachnon ",,150 K €,Free transfer
"Aug 9, 2011",Hamza Cakir,25,Centre-Back,Turkey,"
Kayserispor ", Süper Lig ,"
Karabükspor ",,450 K €,Free transfer
"Aug 9, 2011",Andrei Prepelita,25,Central Midfield,Romania,"
Uni. Craiova ", Romania		,"
FCSB ",,"1,50 mil. €",Free transfer
"Aug 9, 2011",Cidimar,27,Centre-Forward,Brazil,"
FSV Frankfurt ", 2. Bundesliga ,"
Dynamo Dresden ",,450 K €,Free transfer
"Aug 9, 2011",Giannis Papadopoulos,22,Central Midfield,Greece,"
Olympiacos ", Super League 1 ,"
Dynamo Dresden ",,"1,25 mil. €",Free transfer
"Aug 9, 2011",Christian Santos,23,Centre-Forward,Venezuela,"
A. Bielefeld II ", NRW-Liga ,"
KAS Eupen ",,75 K €,Free transfer
"Aug 9, 2011",Facundo Schmidt,23,Right Midfield,Argentina,"
Defensa ", Primera Nacional ,"
Sport. Belgrano ",,75 K €,Free transfer
"Aug 9, 2011",Ondrej Kucera,24,Defender,Czech Republic,"
Dukla Prague ", Fortuna Liga ,"
Vsenorsky FK ",,75 K €,Free transfer
"Aug 9, 2011",Hüseyin Güngör,20,Centre-Back,Turkey,"
Adapazari Spor ", Turkey		,"
Ümraniyespor ",,50 K €,Free transfer
"Aug 9, 2011",Facundo Alfonso,23,Right Midfield,Argentina,"
Instituto AC ", Primera Nacional ,"
Tiro Federal ",,50 K €,Free transfer
"Aug 9, 2011",Lee Bennett,20,Centre-Forward,England,"
Friska Viljor ", Sweden		,"
Frickley Athletic ",,25 K €,Free transfer
"Aug 9, 2011",Ivan Brecevic,24,Centre-Forward,Croatia,"
HNK Sibenik ", 1.HNL ,"
FC Koper ",,200 K €,Free transfer
"Aug 9, 2011",Tibor Fülöp,25,Attacking Midfield,Hungary,"
Makói FC ", Hungary		,"
Békéscsaba ",,75 K €,Free transfer
"Aug 10, 2011",Teteh Bangura,21,Centre-Forward,Sierra Leone,"
AIK ", Allsvenskan ,"
Bursaspor ",,"2,50 mil. €","3,30 mil. €"
"Aug 10, 2011",Madjid Bougherra,28,Centre-Back,Algeria,"
Rangers ", Premiership ,"
Al Duhail ",,"6,50 mil. €","1,95 mil. €"
"Aug 10, 2011",Fabien Lemoine,24,Defensive Midfield,France,"
Stade Rennais ", Ligue 1 ,"
Saint-Étienne ",,"4,00 mil. €","1,50 mil. €"
"Aug 10, 2011",Davide Lanzafame,24,Centre-Forward,Italy,"
Palermo ", Serie A ,"
Catania ",,"2,60 mil. €","1,00 mil. €"
"Aug 10, 2011",Edin Visca,21,Right Midfield,Bosnia-Herzegovina,"
Zeljeznicar ", Premijer Liga ,"
Basaksehir ",,300 K €,400 K €
"Aug 10, 2011",Keigan Parker,29,Centre-Forward,Scotland,"
Mansfield Town ", National League ,"
Stockport ",,100 K €,Free transfer
"Aug 10, 2011",Serkan Güney,29,Left-Back,Turkey,"
Sanliurfaspor  ", 2.Lig Beyaz ,"
Körfez Isk. ",,100 K €,Free transfer
"Aug 10, 2011",Fabián Yantorno,28,Central Midfield,Uruguay,"
Hartlepool Utd. ", League One ,"
Sud America ",,500 K €,Free transfer
"Aug 10, 2011",Sebastian Göransson,23,Left Midfield,Sweden,"
Husqvarna ", Ettan Södra ,"
Gislaveds IS ",,100 K €,Free transfer
"Aug 10, 2011",Ulas Güler,31,Goalkeeper,Turkey,"
Genclerbirligi ", Süper Lig ,"
Tavsanli Linyit ",,150 K €,Free transfer
"Aug 10, 2011",Mike Vanhamel,21,Goalkeeper,Belgium,"
AC Le Havre ", Ligue 2 ,"
KVC Westerlo ",,300 K €,Free transfer
"Aug 10, 2011",Isaiah Osbourne,23,Central Midfield,England,"
Aston Villa ", Premier League ,"
Hibernian FC ",,500 K €,Free transfer
"Aug 10, 2011",Marcel Román,23,Defensive Midfield,Uruguay,"
Genoa ", Serie A ,"
CA Cerro ",,300 K €,Free transfer
"Aug 10, 2011",Dejan Vukadinovic,28,Defensive Midfield,Serbia,"
MTK Budapest ", NB II - West ,"
Nyíregyháza ",,150 K €,Free transfer
"Aug 10, 2011",Cristian Cayeta,29,Forward,Argentina,"
CA Patronato ", Primera Nacional ,"
Almagro ",,75 K €,Free transfer
"Aug 10, 2011",Yacoub Meité,21,Central Midfield,Cote d'Ivoire,"
FC Sion ", Super League ,"
Tours FC ",,50 K €,Free transfer
"Aug 10, 2011",Mesut Saray,23,Central Midfield,Turkey,"
C. Dardanel ", Turkey		,"
Tavsanli Linyit ",,125 K €,Free transfer
"Aug 10, 2011",Joe Collister,19,Goalkeeper,England,"
Tranmere Rovers ", League One ,"
Tamworth ",,50 K €,Free transfer
"Aug 10, 2011",Danilo Cócaro,19,Centre-Forward,Uruguay,"
Racing Club ", Primera División ,"
Rentistas ",,300 K €,Free transfer
"Aug 10, 2011",Vincenzo Maisto,29,Right Midfield,Italy,"
Melfi ", Italy		,"
Catanzaro ",,150 K €,Free transfer
"Aug 10, 2011",Carl Piergianni,19,Centre-Back,England,"
Peterborough ", Championship ,"
Stockport ",,50 K €,Free transfer
"Aug 10, 2011",Zoltán Csák,20,Centre-Forward,Hungary,"
Békéscsaba ", NB II - East ,"
Bajai LSE ",,75 K €,Free transfer
"Aug 10, 2011",Emanuele Padella,22,Centre-Back,Italy,"
Parma ", Serie A ,"
Grosseto ",,275 K €,Free transfer
"Aug 10, 2011",Sener Askaroglu,31,Right Midfield,Turkey,"
Manisaspor ", Süper Lig ,"
Tavsanli Linyit ",,150 K €,?
"Aug 10, 2011",Matt Derbyshire,25,Centre-Forward,England,"
Olympiacos ", Super League 1 ,"
Nottm Forest ",,"3,00 mil. €",?
"Aug 11, 2011",José Enrique,25,Left-Back,Spain,"
Newcastle ", Premier League ,"
Liverpool ",,"7,50 mil. €","8,00 mil. €"
"Aug 11, 2011",Fernando Muslera,25,Goalkeeper,Uruguay,"
Lazio ", Serie A ,"
Galatasaray ",,"12,00 mil. €","6,75 mil. €"
"Aug 11, 2011",Chris Lines,25,Central Midfield,England,"
Bristol Rovers ", League Two ,"
Sheff Wed ",,200 K €,60 K €
"Aug 11, 2011",Gustavo Varela,33,Right Midfield,Uruguay,"
Nacional ", Primera División ,"
CA Cerro ",,500 K €,Free transfer
"Aug 11, 2011",Jaromir Simr,32,Right Winger,Czech Republic,"
SK Doubravka ", Czech Republic		,"
Spartak Chrast ",,400 K €,Free transfer
"Aug 11, 2011",Dimitrios Eleftheropoulos,35,Goalkeeper,Greece,"
Iraklis ", Greece		,"
Panionios ",,"1,00 mil. €",Free transfer
"Aug 11, 2011",Hussein Yasser,28,Attacking Midfield,Qatar,"
Zamalek ", Premier League ,"
Lierse SK ",,"1,00 mil. €",Free transfer
"Aug 11, 2011",Antonio Pacheco,35,Second Striker,Uruguay,"
Peñarol ", Primera División ,"
Wanderers ",,500 K €,Free transfer
"Aug 11, 2011",Emrehan Ceylan,31,Goalkeeper,Turkey,"
Tokatspor  ", 2.Lig Beyaz ,"
Fethiyespor ",,75 K €,Free transfer
"Aug 11, 2011",Joan Hartock,24,Goalkeeper,Martinique,"
Olymp. Lyon B ", France		,"
Stade Brest 29 ",,100 K €,Free transfer
"Aug 11, 2011",Rolando Zárate,33,Centre-Forward,Argentina,"
Huracán ", Primera Nacional ,"
Defensa ",,800 K €,Free transfer
"Aug 11, 2011",Kevin Wölk,26,Defensive Midfield,Germany,"
Rot Weiss Ahlen ", NRW-Liga ,"
SV Darmstadt 98 ",,350 K €,Free transfer
"Aug 11, 2011",Lukasz Mierzejewski,28,Right-Back,Poland,"
Cracovia  ", Ekstraklasa ,"
AO Kavala ",,400 K €,Free transfer
