Date,Name,Age,Position,Nationality,Club Left,League Left,Club Joined,League Joined,Market Valuation,Transfer
"Feb 1, 2004",Leonardo,29,Right Winger,Brazil,"
Belenenses SAD ", Liga NOS ,"
Paysandu ",,50 K €,?
"Jul 1, 2004",Zoran Zekic,30,Centre-Forward,Croatia,"
Maccabi Haifa ", Ligat ha'Al ,"
Dinamo Zagreb ",,500 K €,500 K €
"Jul 1, 2004",Marius Constantin,19,Centre-Back,Romania,"
ACS SR Brasov ", Liga 1 ,"
Rapid 1923 ",,500 K €,500 K €
"Jul 1, 2004",Dimos Charisteas,20,Centre-Back,Greece,"
K. Offenbach ", Regionalliga Süd ,"
Olympiakos N. ",,150 K €,100 K €
"Jul 1, 2004",Cesare Bovo,21,Centre-Back,Italy,"
Lecce ", Serie A ,"
AS Roma ",,"4,00 mil. €",10 K €
"Jul 1, 2004",Mathias Börger,26,Defensive Midfield,Germany,"
Spelle-Venhaus ", Oberliga NDS-West ,"
TuRU Düsseldorf ",,50 K €,Free transfer
"Jul 1, 2004",Jens Schaumkessel,25,Centre-Forward,Germany,"
1.FC Gera 03 ", Thüringenliga ,"
Budissa Bautzen ",,50 K €,Free transfer
"Jul 1, 2004",Luke Cornwall,23,Centre-Forward,England,"
Woking FC ", England		,"
Sutton Utd ",,100 K €,Free transfer
"Jul 1, 2004",Kelly Berville,26,Left-Back,France,"
FC Gueugnon ", Ligue 2 ,"
Penafiel ",,50 K €,Free transfer
"Jul 1, 2004",Dominique Aulanier,30,Attacking Midfield,France,"
FC Sion ", Challenge League ,"
Cannes ",,250 K €,Free transfer
"Jul 1, 2004",Víctor Curto,22,Centre-Forward,Spain,"
Valencia B ", Spain		,"
SD Huesca ",,50 K €,Free transfer
"Jul 1, 2004",Nihad Pejkovic,35,Goalkeeper,Bosnia-Herzegovina,"
NS Mura ", Prva Liga ,"
Eordaikos 2007 ",,50 K €,Free transfer
"Jul 1, 2004",Guillaume Legros,21,Centre-Forward,Belgium,"
Royal Spa FC ", Belgium		,"
RFCU Kelmis ",,50 K €,Free transfer
"Jul 1, 2004",Leyton Maxwell,24,Central Midfield,Wales,"
Swansea ", League Two ,"
Carmarthen ",,50 K €,Free transfer
"Jul 1, 2004",David Hutton,19,Goalkeeper,Scotland,"
Aberdeen FC ", Premiership ,"
Petershill FC ",,50 K €,Free transfer
"Jul 1, 2004",Hussein Yasser,21,Attacking Midfield,Qatar,"
Man Utd ", Premier League ,"
AEL Limassol ",,125 K €,Free transfer
"Jul 1, 2004",Roman Vonasek,35,Midfielder,Czech Republic,"
KV Mechelen ", Belgium		,"
SK Klatovy ",,100 K €,Free transfer
"Jul 1, 2004",Dimitrios Maris,25,Right-Back,Greece,"
Paniliakos ", Football League ,"
Aris Limassol ",,50 K €,Free transfer
"Jul 1, 2004",Catalin Munteanu,25,Attacking Midfield,Romania,"
Atlético Madrid ", LaLiga ,"
Real Murcia ",,300 K €,Free transfer
"Jul 1, 2004",Amin Maizi,21,Attacking Midfield,Germany,"
Wattenscheid 09 ", Oberliga Westfalen ,"
Velbert 02 ",,50 K €,Free transfer
"Jul 1, 2004",Polat Ikiz,22,Goalkeeper,<td class=,"
FC 08 Villingen ", Oberliga Ba-Wü ,"
Antalyaspor ",,50 K €,Free transfer
"Jul 1, 2004",Adrian Mihalcea,28,Centre-Forward,Romania,"
Hellas Verona ", Serie B ,"
Dinamo Bukarest ",,600 K €,Free transfer
"Jul 1, 2004",Sammuel,17,Attacking Midfield,Brazil,"
América-RN ", Brazil		,"
Feyenoord U19 ",,500 K €,Free transfer
"Jul 1, 2004",Marcus Piossek,14,Attacking Midfield,Poland,"
SV Lippstadt 08 U19 ", Germany		,"
B. Dortmund U17 ",,400 K €,Free transfer
"Jul 1, 2004",Laurentiu Rosu,28,Forward,Romania,"
CD Numancia ", LaLiga ,"
Recr. Huelva ",,"1,00 mil. €",Free transfer
"Jul 1, 2004",Allan Baclet,18,Centre-Forward,France,"
LOSC Lille U19 ", France		,"
US Russi ",,125 K €,Free transfer
"Jul 2, 2004",Sean Hessey,25,Centre-Back,England,"
Blackpool ", League One ,"
Chester City ",,50 K €,?
"Jul 7, 2004",Slavisa Dugic,19,Centre-Forward,Switzerland,"
Servette FC ", Super League ,"
FC Aarau ",,200 K €,Free transfer
"Jul 9, 2004",Steve Fulton,33,Left Midfield,Scotland,"
Kilmarnock FC ", Premiership ,"
Partick Thistle ",,50 K €,Free transfer
"Jul 19, 2004",Attila Kriston,29,Right Midfield,Hungary,"
Ferencváros ", NB I. ,"
Fehérvár ",,50 K €,?
"Jul 21, 2004",Hayri Yilmaz,27,Midfielder,Turkey,"
Konyaspor ", Süper Lig ,"
Altay SK ",,500 K €,?
"Jul 22, 2004",Inanc Gültekin,29,Right Midfield,Turkey,"
Malatyaspor ", Süper Lig ,"
Manisaspor ",,500 K €,?
"Aug 1, 2004",Grégory Ursule,27,Defensive Midfield,France,"
AC Ajaccio ", Ligue 1 ,"
Rodez AF ",,50 K €,Free transfer
"Aug 1, 2004",Ousmane N'Doye,26,Defensive Midfield,Senegal,"
Toulouse ", Ligue 1 ,"
Estoril ",,900 K €,Free transfer
"Aug 1, 2004",Mano Pölking,28,Attacking Midfield,Brazil,"
A. Bielefeld II ", Regionalliga Nord ,"
SV Darmstadt 98 ",,125 K €,Free transfer
"Aug 1, 2004",Marc Le Part,21,Left-Back,France,"
KSV Roeselare ", Belgium		,"
KRC Harelbeke ",,125 K €,Free transfer
"Aug 1, 2004",Ivan Milosavljevic,21,Right-Back,Serbia,"
RW Ahlen II ", Oberliga Westfalen ,"
Sonnenhof-Gr. ",,250 K €,?
"Aug 16, 2004",Erdem Genc,28,Forward,Turkey,"
Osmanlispor ", Süper Lig ,"
Türk Telekom ",,"1,10 mil. €",Free transfer
"Aug 19, 2004",Sercan Güvenisik,24,Centre-Forward,Turkey,"
1.SC Feucht ", Regionalliga Süd ,"
Manisaspor ",,600 K €,Free transfer
"Aug 19, 2004",Radek Sionko,28,Midfielder,Czech Republic,"
Viktoria Zizkov ", Czech Republic		,"
FC Vysocina ",,100 K €,Free transfer
"Aug 25, 2004",Pierre Womé,25,Left-Back,Cameroon,"
Espanyol ", LaLiga ,"
Brescia ",,"6,00 mil. €",Free transfer
"Aug 27, 2004",Emrah Umut,22,Centre-Back,Turkey,"
Galatasaray ", Süper Lig ,"
Karsiyaka ",,500 K €,Free transfer
"Aug 27, 2004",Tayfun Yungul,31,Midfielder,Turkey,"
Diyarbakirspor ", Süper Lig ,"
Altay SK ",,"1,00 mil. €",Free transfer
"Aug 31, 2004",Hayati Köse,30,Centre-Back,Turkey,"
Osmanlispor ", Süper Lig ,"
Antalyaspor ",,600 K €,Free transfer
"Sep 1, 2004",Matteo Gianello,28,Goalkeeper,Italy,"
Siena ", Serie A ,"
SSC Napoli ",,300 K €,300 K €
"Sep 1, 2004",Evren Turhan,29,Attacking Midfield,Turkey,"
Samsunspor ", Süper Lig ,"
Ankaragücü ",,"2,40 mil. €",Free transfer
"Sep 1, 2004",Roberto Sosa,29,Centre-Forward,Argentina,"
Udinese Calcio ", Serie A ,"
SSC Napoli ",,300 K €,Free transfer
"Sep 13, 2004",Rachid Belabed,23,Defensive Midfield,Morocco,"
AA La Louviere ", Jupiler Pro League ,"
Without Club ",,200 K €,-
"Sep 20, 2004",Marcelo de Souza Ribeiro,26,Left Midfield,Brazil,"
Beerschot AC ", Jupiler Pro League ,"
Olaria AC ",,250 K €,?
"Sep 20, 2004",Felipe,22,Defensive Midfield,Brazil,"
Beerschot AC ", Jupiler Pro League ,"
Vasco da Gama ",,300 K €,?
"Sep 24, 2004",Henry McStay,19,Centre-Back,Ireland,"
Leeds U23 ", England		,"
Halifax Town ",,50 K €,?
"Oct 1, 2004",Paul Gascoigne,37,Attacking Midfield,England,"
Boston United ", League Two ,"
Retired ",,250 K €,-
"Oct 6, 2004",Ferenc Horváth,31,Centre-Forward,Hungary,"
Without Club ",,"
Fehérvár ",,600 K €,?
"Oct 7, 2004",Thomas Caers,31,Left-Back,Belgium,"
Sint-Truiden ", Jupiler Pro League ,"
Retired ",,750 K €,-
"Oct 10, 2004",Marcel Desailly,36,Centre-Back,France,"
Without Club ",,"
Al Gharafa ",,"2,00 mil. €",-
"Oct 16, 2004",Sonny Anderson,34,Centre-Forward,Brazil,"
Villarreal ", LaLiga ,"
Al Rayyan ",,"4,00 mil. €","2,00 mil. €"
"Oct 29, 2004",Steve Jenkins,32,Defender,Wales,"
Peterborough ", League One ,"
Swindon Town ",,50 K €,Free transfer
"Nov 1, 2004",Chris Sedgwick,24,Central Midfield,England,"
Rotherham ", Championship ,"
Preston NE ",,50 K €,600 K €
"Nov 1, 2004",Patrick Agyemang,24,Centre-Forward,Ghana,"
Gillingham FC ", Championship ,"
Preston NE ",,50 K €,525 K €
"Nov 1, 2004",Paul Jones,18,Goalkeeper,England,"
Leyton Orient ", League Two ,"
Exeter City ",,20 K €,60 K €
"Nov 1, 2004",Aleksandar Kotuljac,22,Centre-Forward,Germany,"
Hannover 96 II ", Oberliga Nord ,"
Eintr. Nordhorn ",,50 K €,Free transfer
"Nov 1, 2004",Paul Warhurst,35,Centre-Back,England,"
Grimsby Town ", League Two ,"
Blackpool ",,250 K €,Free transfer
"Nov 1, 2004",Andy Marriott,34,Goalkeeper,Wales,"
Coventry ", Championship ,"
Bury ",,500 K €,Free transfer
"Nov 1, 2004",Mauricio Taricco,31,Left-Back,Argentina,"
Spurs ", Premier League ,"
West Ham ",,"3,00 mil. €",Free transfer
"Nov 1, 2004",Zema Abbey,27,Centre-Forward,England,"
Wycombe ", League Two ,"
Bradford ",,50 K €,Free transfer
"Nov 1, 2004",Craig Higgins,19,Centre-Back,Scotland,"
Aberdeen FC ", Premiership ,"
Elgin City ",,50 K €,Free transfer
"Nov 1, 2004",Adrian Williams,33,Centre-Back,Wales,"
Reading ", Championship ,"
Coventry ",,50 K €,Free transfer
"Nov 1, 2004",Tony Dinning,29,Midfielder,England,"
Wigan ", Championship ,"
Bristol City ",,800 K €,Free transfer
"Nov 1, 2004",Paul McCarthy,33,Defender,Ireland,"
AFC Hornchurch ", England		,"
Ebbsfleet Utd ",,50 K €,Free transfer
"Nov 1, 2004",Erik Nevland,26,Centre-Forward,Norway,"
Viking FK ", Eliteserien ,"
FC Groningen ",,750 K €,Free transfer
"Nov 1, 2004",Richard Pacquette,21,Centre-Forward,Dominica,"
MK Dons ", League One ,"
Brentford ",,50 K €,Free transfer
"Nov 1, 2004",Kieran McAnespie,25,Left-Back,Scotland,"
Falkirk FC ", Championship ,"
St. Johnstone ",,50 K €,Free transfer
"Nov 1, 2004",Simon Weatherstone,24,Central Midfield,England,"
AFC Hornchurch ", England		,"
Stevenage ",,50 K €,Free transfer
"Nov 1, 2004",Reynald Pedros,33,Left Midfield,France,"
M. Ahi Nazareth ", Israel		,"
Al Khor ",,500 K €,?
"Nov 1, 2004",Paul Riley,22,Defender,England,"
Ilkeston Town ", England		,"
Matlock ",,50 K €,?
"Nov 3, 2004",Oktay Derelioglu,28,Centre-Forward,Turkey,"
A.Sebatspor ", Süper Lig ,"
Xäzär Länkäran ",,"1,00 mil. €",Free transfer
"Nov 7, 2004",Juan Pablo Sorín,28,Left-Back,Argentina,"
Cruzeiro ", Brazil		,"
Villarreal ",,"4,00 mil. €","1,50 mil. €"
"Nov 8, 2004",Fatih Akyel,26,Right-Back,Turkey,"
Fenerbahce ", Süper Lig ,"
VfL Bochum ",,"1,75 mil. €",Free transfer
"Nov 11, 2004",José Luis Chilavert,39,Goalkeeper,Paraguay,"
Vélez Sarsfield ", Argentina		,"
Retired ",,50 K €,-
"Nov 19, 2004",Ezra Hendrickson,32,Right-Back,St. Vincent &amp; Grenadinen,"
D.C. United ", MLS ,"
Chivas USA ",,50 K €,draft
"Nov 19, 2004",Kiran Bechan,22,Right Winger,Netherlands,"
Ajax U21 ", Beloften Eredivisie ,"
FC Groningen ",,250 K €,Free transfer
"Nov 19, 2004",Jon Shaw,21,Centre-Forward,England,"
Sheff Wed ", League One ,"
Burton Albion ",,50 K €,Free transfer
"Nov 19, 2004",Mustapha Oussalah,22,Left-Back,Belgium,"
Standard Liège ", Jupiler Pro League ,"
Without Club ",,750 K €,-
"Nov 26, 2004",Jack Lester,29,Centre-Forward,England,"
Sheffield Utd. ", Championship ,"
Nottm Forest ",,350 K €,75 K €
"Nov 26, 2004",Daryl McMahon,22,Attacking Midfield,Ireland,"
Port Vale ", League One ,"
Leyton Orient ",,50 K €,Free transfer
"Nov 26, 2004",Jamal Campbell-Ryce,21,Right Winger,Jamaica,"
Chesterfield FC ", League One ,"
Rotherham ",,50 K €,Free transfer
"Nov 27, 2004",Alexander Hörtnagl,24,Central Midfield,Austria,"
Juniors OÖ ", Bundesliga ,"
Without Club ",,350 K €,-
"Nov 30, 2004",Vasilios Tsiartas,32,Attacking Midfield,Greece,"
Without Club ",,"
1. FC Köln ",,"3,00 mil. €",-
"Dec 1, 2004",Adam Nowland,23,Attacking Midfield,England,"
West Ham ", Championship ,"
Nottm Forest ",,100 K €,300 K €
"Dec 1, 2004",Simon Brown,21,Midfielder,England,"
West Brom ", Premier League ,"
Mansfield Town ",,50 K €,75 K €
"Dec 1, 2004",Didi,28,Centre-Forward,Brazil,"
Chiapas FC ", Liga MX Apertura ,"
Tigres UANL ",,350 K €,75 K €
"Dec 1, 2004",Steffen Handschuh,24,Centre-Forward,Germany,"
Stuttgart II ", Regionalliga Süd ,"
SG Schorndorf ",,100 K €,Free transfer
"Dec 1, 2004",Lewis Buxton,20,Right-Back,England,"
Portsmouth ", Premier League ,"
Stoke City ",,75 K €,Free transfer
"Dec 1, 2004",Trevor Benjamin,25,Centre-Forward,Jamaica,"
Leicester ", Championship ,"
Northampt. Town ",,750 K €,Free transfer
"Dec 1, 2004",Brian Cash,22,Right Midfield,Ireland,"
Nottm Forest ", Championship ,"
Bristol Rovers ",,50 K €,Free transfer
"Dec 1, 2004",Paul Mitchell,23,Central Midfield,England,"
Wigan ", Championship ,"
MK Dons ",,50 K €,Free transfer
"Dec 1, 2004",Julian Alsop,31,Centre-Forward,England,"
Northampt. Town ", League Two ,"
Forest Green ",,50 K €,Free transfer
"Dec 1, 2004",Steve Mildenhall,26,Goalkeeper,England,"
Notts County ", League Two ,"
Oldham Athletic ",,50 K €,Free transfer
"Dec 1, 2004",Richard Pacquette,21,Centre-Forward,Dominica,"
Brentford ", League One ,"
Farnborough ",,50 K €,Free transfer
"Dec 1, 2004",Roddy Grant,38,Centre-Forward,Scotland,"
Linlithgow Rose ", Scotland		,"
Pumpherston ",,50 K €,Free transfer
"Dec 1, 2004",Stewart Kean,21,Centre-Forward,Scotland,"
Ayr United ", Championship ,"
St. Mirren ",,50 K €,Free transfer
"Dec 1, 2004",Darren Brady,23,Central Midfield,Scotland,"
Raith Rovers ", Championship ,"
Partick Thistle ",,50 K €,Free transfer
"Dec 1, 2004",Peter Folkes,20,Defender,England,"
Bradford ", League One ,"
Lincoln City ",,50 K €,Free transfer
"Dec 1, 2004",Chris Beardsley,20,Centre-Forward,England,"
Doncaster ", League One ,"
Kidderminster ",,50 K €,Free transfer
"Dec 1, 2004",Arron Davies,20,Right Midfield,Wales,"
Southampton U23 ", England		,"
Yeovil Town ",,50 K €,Free transfer
"Dec 1, 2004",Bashiru Gambo,26,Midfielder,Ghana,"
Wydad AC ", Morocco		,"
Stuttg. Kickers ",,350 K €,?
"Dec 1, 2004",Mario Rebecchi,21,Central Midfield,Italy,"
Parma ", Serie A ,"
Inter ",,500 K €,?
"Dec 1, 2004",Matthew Rees,22,Centre-Back,Wales,"
Crawley Town ", England		,"
Millwall ",,100 K €,?
"Dec 1, 2004",Adrián Bastía,25,Defensive Midfield,Argentina,"
Saturn ", Premier Liga ,"
Espanyol ",,50 K €,?
"Dec 1, 2004",Hassan Kachloul,31,Left Midfield,Morocco,"
Without Club ",,"
Livingston FC ",,"2,50 mil. €",-
"Dec 1, 2004",Patrick Deuß,25,Goalkeeper,Germany,"
F. Düsseldorf II ", Germany		,"
F. Düsseldorf ",,50 K €,-
"Dec 1, 2004",Nemanja Vucicevic,25,Left Winger,Serbia,"
Without Club ",,"
1860 Munich ",,500 K €,-
"Dec 1, 2004",Zlatko Runje,24,Goalkeeper,Croatia,"
Without Club ",,"
KAA Gent ",,350 K €,-
"Dec 2, 2004",Rúrik Gíslason,16,Right Midfield,Iceland,"
Anderlecht U19 ", Belgium		,"
HK Kópavogs ",,50 K €,Free transfer
"Dec 6, 2004",Paul Rachubka,23,Goalkeeper,England,"
Charlton ", Premier League ,"
Huddersfield ",,"1,00 mil. €",Free transfer
"Dec 8, 2004",Nenad Grozdic,30,Central Midfield,Serbia,"
Bursaspor ", 1.Lig ,"
SC/ESV Parndorf ",,500 K €,Free transfer
"Dec 12, 2004",Chris Templeman,24,Centre-Forward,Scotland,"
Brechin City ", Scotland		,"
Morton ",,50 K €,Free transfer
"Dec 17, 2004",Markus Anfang,30,Central Midfield,Germany,"
Without Club ",,"
MSV Duisburg ",,750 K €,-
"Dec 22, 2004",Mahmut Tasdemir,31,Midfielder,Turkey,"
Sakaryaspor ", Süper Lig ,"
Without Club ",,375 K €,-
"Dec 28, 2004",Oumar Dieng,31,Centre-Back,France,"
Konyaspor ", Süper Lig ,"
Akratitos ",,850 K €,Free transfer
"Dec 30, 2004",Bernd Thijs,26,Defensive Midfield,Belgium,"
Trabzonspor ", Süper Lig ,"
Bor. M'gladbach ",,"2,75 mil. €",600 K €
